country,mean,sd,hdi_1.5%,hdi_3%,median,hdi_97%,hdi_98.5%
Philippines,96.747,0.46,95.708,95.843,96.773,97.553,97.635
Portugal,94.055,0.451,93.031,93.157,94.072,94.89,94.99
Uganda,93.387,0.481,92.302,92.447,93.39,94.278,94.404
Ghana,92.957,0.489,91.872,92.014,92.963,93.867,93.989
Tanzania,92.854,1.084,90.229,90.67,92.915,94.733,94.991
Brazil,92.607,0.355,91.792,91.912,92.617,93.239,93.328
Turkey,92.478,0.447,91.522,91.629,92.477,93.293,93.402
Gambia,92.463,0.3,91.828,91.905,92.466,93.007,93.081
Chile,92.452,0.524,91.247,91.434,92.479,93.395,93.53
Serbia,92.398,0.642,90.878,91.134,92.411,93.626,93.816
Venezuela,91.975,1.179,89.143,89.564,92.049,94.006,94.291
Uruguay,91.697,0.578,90.342,90.559,91.723,92.707,92.883
Vietnam,91.631,0.676,90.067,90.339,91.654,92.847,93.026
Mexico,91.399,0.578,90.128,90.277,91.388,92.485,92.636
Italy,91.213,0.369,90.347,90.48,91.228,91.897,92.003
Kenya,91.167,0.698,89.535,89.759,91.208,92.367,92.525
North Macedonia,90.815,0.498,89.665,89.846,90.835,91.675,91.79
Peru,90.601,0.73,88.921,89.194,90.617,91.9,92.056
Ecuador,90.524,0.553,89.267,89.446,90.545,91.505,91.675
Nigeria,90.129,0.411,89.234,89.343,90.135,90.893,91.006
Czechia,89.293,0.7,87.628,87.889,89.314,90.554,90.792
Armenia,89.19,0.716,87.653,87.861,89.188,90.56,90.749
Canada,89.135,0.52,87.976,88.102,89.159,90.058,90.214
South Africa,89.102,0.767,87.409,87.612,89.127,90.537,90.681
India,88.96,0.664,87.432,87.654,88.98,90.168,90.389
Sri Lanka,88.652,0.865,86.66,86.929,88.682,90.198,90.408
Ukraine,88.368,0.759,86.643,86.881,88.406,89.702,89.894
Spain,88.212,0.781,86.348,86.653,88.233,89.699,89.897
Romania,88.046,0.883,86.064,86.301,88.058,89.647,89.865
Ireland,87.15,0.666,85.624,85.842,87.154,88.367,88.588
South Korea,85.666,0.812,83.785,84.024,85.699,87.144,87.398
France,85.492,0.592,84.076,84.292,85.506,86.551,86.707
Algeria,85.084,0.919,83.045,83.311,85.09,86.747,86.995
Morocco,84.872,0.971,82.576,82.881,84.926,86.581,86.805
China,84.692,0.709,83.101,83.32,84.711,85.955,86.16
Bulgaria,84.629,0.771,82.955,83.208,84.628,86.073,86.284
Switzerland,84.515,0.684,82.977,83.163,84.53,85.741,85.911
Thailand,83.984,0.967,81.835,82.115,84.022,85.761,85.979
Singapore,83.941,0.867,82.046,82.288,83.938,85.568,85.934
Poland,83.593,0.518,82.443,82.566,83.615,84.527,84.672
Germany,83.33,0.632,81.981,82.169,83.321,84.533,84.705
UK,82.663,0.608,81.265,81.516,82.674,83.764,83.941
Austria,82.254,1.04,79.734,80.151,82.305,84.075,84.398
UAE,81.942,1.016,79.602,79.966,81.958,83.751,84.045
Greece,81.318,1.051,78.973,79.264,81.332,83.301,83.531
Australia,81.316,0.82,79.469,79.7,81.345,82.823,83.037
Russia,81.226,0.708,79.681,79.887,81.235,82.584,82.728
Slovenia,80.135,1.18,77.379,77.743,80.189,82.23,82.445
Netherlands,80.092,0.677,78.589,78.784,80.099,81.354,81.533
Denmark,79.843,0.972,77.656,77.993,79.844,81.63,81.926
Finland,79.436,1.127,77.014,77.333,79.425,81.454,81.737
Slovakia,79.396,0.89,77.342,77.609,79.438,80.904,81.136
Belgium,79.384,0.875,77.393,77.659,79.424,80.966,81.165
Sweden,79.343,0.648,77.842,78.062,79.333,80.527,80.699
Taiwan,79.281,1.756,75.177,75.899,79.342,82.588,83.03
Sudan,79.217,1.058,76.913,77.229,79.241,81.058,81.214
New Zealand,79.152,0.859,77.212,77.488,79.169,80.748,80.977
Japan,79.148,0.733,77.501,77.759,79.147,80.443,80.629
Latvia,76.918,1.378,73.982,74.384,76.929,79.475,79.801
USA,76.861,0.467,75.819,75.945,76.882,77.687,77.8
Norway,76.248,0.898,74.234,74.541,76.256,77.931,78.188
Saudi Arabia,73.952,1.469,70.969,71.339,73.941,76.716,77.138
Israel,73.439,0.891,71.426,71.688,73.468,75.037,75.294
