country,mean,sd,hdi_1.5%,hdi_3%,median,hdi_97%,hdi_98.5%
Kenya,93.31,1.437,89.913,90.418,93.426,95.709,95.969
Uganda,91.743,1.88,87.214,87.855,91.873,94.834,95.339
Mexico,90.518,1.53,86.866,87.42,90.596,93.149,93.489
Taiwan,88.544,2.757,81.7,83.04,88.705,93.337,94.025
Ecuador,88.295,1.408,85.068,85.514,88.361,90.728,91.051
Gambia,87.53,1.656,83.911,84.365,87.581,90.524,91.035
Nigeria,86.151,0.977,83.916,84.251,86.166,87.89,88.244
Ghana,85.086,1.758,81.183,81.675,85.133,88.257,88.665
Tanzania,82.466,4.43,72.229,73.671,82.664,90.198,90.939
UAE,81.872,1.717,78.087,78.663,81.876,84.983,85.388
Vietnam,81.416,2.309,76.107,76.954,81.581,85.437,86.051
Thailand,81.093,2.097,76.417,77.093,81.121,84.968,85.517
China,80.925,1.44,77.75,78.191,80.932,83.51,83.837
Peru,80.692,2.314,75.356,76.058,80.749,84.931,85.465
Saudi Arabia,80.387,1.778,76.361,76.968,80.417,83.59,84.102
South Korea,79.702,2.197,74.722,75.38,79.756,83.727,84.351
India,78.964,1.608,75.443,75.878,78.991,81.939,82.332
South Africa,77.534,2.145,72.813,73.381,77.549,81.466,82.084
Morocco,76.654,2.116,71.898,72.58,76.713,80.525,81.113
Chile,74.184,1.191,71.658,71.97,74.167,76.464,76.76
Brazil,73.233,1.409,70.123,70.521,73.256,75.824,76.273
Algeria,71.205,2.15,66.353,67.162,71.19,75.038,75.525
Singapore,68.836,2.176,64.203,64.819,68.883,72.738,73.444
Uruguay,68.78,2.526,63.148,63.917,68.883,73.361,74.062
Greece,66.537,2.305,61.533,62.161,66.559,70.846,71.454
Sudan,66.491,1.941,62.435,62.844,66.5,70.158,70.738
Venezuela,66.344,4.934,55.454,56.782,66.413,75.446,77.046
Philippines,65.902,4.414,56.219,57.384,65.891,73.895,75.357
France,64.752,1.5,61.54,61.94,64.755,67.583,67.945
Sri Lanka,64.328,2.918,57.922,58.69,64.353,69.722,70.551
Bulgaria,64.26,2.122,59.538,60.124,64.339,68.201,68.753
Ireland,62.759,2.204,57.926,58.503,62.775,66.783,67.301
USA,61.391,0.682,59.916,60.119,61.385,62.695,62.902
Italy,57.09,1.491,53.891,54.306,57.102,59.856,60.285
UK,55.063,1.393,52.023,52.497,55.092,57.584,57.986
Spain,54.985,3.029,48.591,49.382,54.984,60.563,61.501
Slovenia,53.929,2.686,48.062,48.817,53.924,59.043,59.99
Sweden,53.058,1.234,50.478,50.752,53.076,55.32,55.776
Denmark,51.981,2.146,47.428,47.898,51.99,56.016,56.542
Turkey,48.186,2.195,43.447,44.117,48.156,52.302,52.844
Australia,45.53,2.075,40.871,41.597,45.541,49.522,50.215
New Zealand,37.913,1.782,33.92,34.598,37.917,41.228,41.754
Portugal,36.846,2.624,31.254,32.018,36.884,41.748,42.542
Finland,35.997,2.217,31.283,31.857,35.971,40.224,40.93
Canada,35.824,1.684,32.27,32.678,35.782,38.918,39.367
Poland,35.555,1.239,32.906,33.248,35.562,37.891,38.317
Belgium,35.172,1.781,31.455,31.861,35.137,38.561,39.07
Ukraine,34.285,2.412,29.372,29.887,34.258,38.955,39.714
Armenia,32.677,2.393,27.546,28.264,32.635,37.313,37.996
Germany,31.981,1.466,28.809,29.274,31.954,34.732,35.24
Israel,31.629,1.68,28.09,28.442,31.617,34.834,35.395
Slovakia,30.655,1.647,27.065,27.637,30.641,33.806,34.307
North Macedonia,28.421,1.871,24.443,24.903,28.461,31.937,32.364
Austria,27.791,2.325,22.971,23.578,27.753,32.242,32.957
Switzerland,26.868,1.743,23.171,23.71,26.854,30.263,30.85
Serbia,26.537,2.713,21.029,21.639,26.433,31.747,32.44
Russia,26.052,1.41,23.027,23.445,26.03,28.729,29.216
Japan,24.205,1.415,21.274,21.618,24.199,26.888,27.234
Czechia,20.411,1.909,16.319,16.887,20.369,24.17,24.672
Romania,19.597,2.24,15.141,15.559,19.52,24.07,24.782
Netherlands,19.335,1.113,17.006,17.313,19.325,21.478,21.761
Norway,19.178,1.467,16.118,16.46,19.168,22.081,22.577
Latvia,17.684,1.9,13.816,14.27,17.629,21.378,22.103
